City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,77.76,few clouds,-23.1203,-134.9692,Chez Bianca & Benoit
3,The Valley,AI,82.54,few clouds,18.217,-63.0578,CeBlue
6,Tchaourou,BJ,78.01,broken clouds,8.8865,2.5975,Auberge
8,Ewa Beach,US,80.1,broken clouds,21.3156,-158.0072,Hampton Inn & Suites Oahu/Kapolei
9,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
16,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Grand Bel Air
17,San Cristobal,VE,78.98,few clouds,7.7669,-72.225,Terra Sur
24,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,Le Baril
25,Muisne,EC,77.22,broken clouds,0.6,-80.0333,Hostal Té de Menta
26,Kapaa,US,78.19,broken clouds,22.0752,-159.319,Pono Kai Resort
28,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti International Resort
30,Hithadhoo,MV,81.19,few clouds,-0.6,73.0833,Pebbles Inn
31,Port Elizabeth,ZA,73.69,clear sky,-33.918,25.5701,Waterford Hotel
32,General Roca,AR,85.62,overcast clouds,-39.0333,-67.5833,Hotel Austral
47,Rio Grande,BR,82.51,scattered clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
54,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,The Adventures Inn
60,Lima,PE,70.05,overcast clouds,-12.0432,-77.0282,Hotel Peach Garden
63,Luganville,VU,84.7,overcast clouds,-15.5333,167.1667,Beachfront Resort
66,Sao Filipe,CV,76.59,clear sky,14.8961,-24.4956,Bela Vista
69,Progreso,MX,88.11,broken clouds,21.2833,-89.6667,Centro Vacacional Obrero CTM
74,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
84,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Natal Palace Hotel
93,Itarema,BR,79.83,broken clouds,-2.9248,-39.9167,Pousada Oásis
95,Hilo,US,85.28,clear sky,19.7297,-155.09,Dolphin Bay Hotel
100,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Page 63 hostel
101,Lorengau,PG,82.08,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
103,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
106,Kihei,US,78.84,few clouds,20.785,-156.4656,Maui Beach Resort
108,Touros,BR,79.38,clear sky,-5.1989,-35.4608,Pousada Atlântico
110,Atambua,ID,74.46,overcast clouds,-9.1061,124.8925,Hotel Matahari
117,Cayenne,GF,80.64,broken clouds,4.9333,-52.3333,Central Hôtel
121,Amuntai,ID,73.65,overcast clouds,-2.4177,115.2494,Grand Balqis Hotel
128,Atuona,PF,78.82,light rain,-9.8,-139.0333,Pearl Resort
130,Sinnamary,GF,77.9,overcast clouds,5.3833,-52.95,Hôtel du fleuve
133,Neuquen,AR,84.09,clear sky,-38.9516,-68.0591,Hotel Argentina 307
137,Chuy,UY,72.77,clear sky,-33.6971,-53.4616,Alerces
148,Bathsheba,BB,80.06,few clouds,13.2167,-59.5167,Atlantis Hotel
151,Boa Vista,BR,89.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
152,Cabo San Lucas,MX,79.61,clear sky,22.8909,-109.9124,Comfort Rooms
153,Hualmay,PE,74.14,broken clouds,-11.0964,-77.6139,Hotel Mi Choacan
