City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yining,CN,29.0361,114.5636,36.07,48,6,2.17,clear sky
1,Rikitea,PF,-23.1203,-134.9692,77.76,71,15,5.77,few clouds
2,Tigil,RU,57.8,158.6667,14.52,85,97,6.22,overcast clouds
3,The Valley,AI,18.217,-63.0578,82.54,65,20,13.8,few clouds
4,Boende,CD,-0.2167,20.8667,70.43,97,93,2.01,light rain
5,Bluff,NZ,-46.6,168.3333,59.05,83,60,7.45,broken clouds
6,Tchaourou,BJ,8.8865,2.5975,78.01,21,81,6.82,broken clouds
7,Ushuaia,AR,-54.8,-68.3,64.06,55,0,5.75,clear sky
8,Ewa Beach,US,21.3156,-158.0072,80.1,73,75,4.0,broken clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,80.56,92,62,4.0,broken clouds
10,Leningradskiy,RU,69.3833,178.4167,4.93,70,0,2.98,clear sky
11,Santa Maria Del Oro,MX,25.9333,-105.3667,74.95,8,0,5.61,clear sky
12,Srednekolymsk,RU,67.45,153.6833,-18.47,90,5,2.51,clear sky
13,Tommot,RU,58.9564,126.2925,-36.18,100,72,0.74,broken clouds
14,Adrar,MR,20.5022,-10.0711,65.12,21,0,11.36,clear sky
15,Airai,TL,-8.9266,125.4092,58.73,85,53,2.33,broken clouds
16,Mahebourg,MU,-20.4081,57.7,75.25,83,40,6.91,scattered clouds
17,San Cristobal,VE,7.7669,-72.225,78.98,53,14,5.41,few clouds
18,Letlhakeng,BW,-24.0944,25.0298,70.97,48,0,8.05,clear sky
19,Buala,SB,-8.145,159.5921,81.34,80,100,6.13,light rain
20,Klaksvik,FO,62.2266,-6.589,34.72,57,100,21.09,overcast clouds
21,Athol,US,42.5959,-72.2268,36.19,83,100,8.01,overcast clouds
22,Broome,US,42.2506,-75.833,35.46,83,100,11.5,snow
23,East London,ZA,-33.0153,27.9116,72.82,85,0,4.74,clear sky
24,Saint-Philippe,RE,-21.3585,55.7679,76.59,80,88,8.95,overcast clouds
25,Muisne,EC,0.6,-80.0333,77.22,80,77,10.07,broken clouds
26,Kapaa,US,22.0752,-159.319,78.19,76,61,1.01,broken clouds
27,Dikson,RU,73.5069,80.5464,-6.29,96,100,11.74,overcast clouds
28,Vaini,TO,-21.2,-175.2,80.76,94,40,9.22,scattered clouds
29,Faya,SA,18.3851,42.4509,53.71,49,0,4.94,clear sky
30,Hithadhoo,MV,-0.6,73.0833,81.19,71,13,14.25,few clouds
31,Port Elizabeth,ZA,-33.918,25.5701,73.69,64,0,16.11,clear sky
32,General Roca,AR,-39.0333,-67.5833,85.62,36,98,33.91,overcast clouds
33,Cape Town,ZA,-33.9258,18.4232,67.12,77,0,12.66,clear sky
34,Busselton,AU,-33.65,115.3333,61.14,76,98,11.45,overcast clouds
35,Thompson,CA,55.7435,-97.8558,-5.64,71,75,14.97,light snow
36,Cherskiy,RU,68.75,161.3,-0.85,72,0,3.06,clear sky
37,Paamiut,GL,61.994,-49.6678,12.65,61,4,8.46,clear sky
38,Nuuk,GL,64.1835,-51.7216,16.88,52,6,3.0,clear sky
39,Chokurdakh,RU,70.6333,147.9167,-15.23,100,6,1.19,clear sky
40,Yellowknife,CA,62.456,-114.3525,-35.88,67,40,2.3,mist
41,Bethel,US,41.3712,-73.414,40.77,85,100,4.0,overcast clouds
42,Lipari,IT,38.4674,14.954,60.21,79,46,13.31,scattered clouds
43,Punta Arenas,CL,-53.15,-70.9167,55.51,71,75,32.21,moderate rain
44,Butaritari,KI,3.0707,172.7902,81.52,79,92,19.75,overcast clouds
45,Vostok,RU,46.4856,135.8833,18.59,72,100,13.62,overcast clouds
46,Worthington,US,40.0931,-83.018,43.18,95,100,6.91,mist
47,Rio Grande,BR,-32.035,-52.0986,82.51,64,33,18.14,scattered clouds
48,Pevek,RU,69.7008,170.3133,-1.73,82,0,4.0,clear sky
49,Port Alfred,ZA,-33.5906,26.891,69.19,79,0,1.99,clear sky
50,Hobart,AU,-42.8794,147.3294,60.06,90,40,4.61,scattered clouds
51,Alice Springs,AU,-23.7,133.8833,69.35,94,100,9.22,overcast clouds
52,New Norfolk,AU,-42.7826,147.0587,59.72,79,57,1.59,broken clouds
53,Tasiilaq,GL,65.6145,-37.6368,2.48,67,1,6.76,clear sky
54,Kloulklubed,PW,7.0419,134.2556,82.9,75,55,6.87,broken clouds
55,Provideniya,RU,64.3833,-173.3,24.91,63,0,33.55,clear sky
56,Kemijarvi,FI,66.7131,27.4306,20.37,98,100,1.57,light snow
57,Bilma,NE,18.6853,12.9164,61.11,36,42,11.27,scattered clouds
58,Mataura,NZ,-46.1927,168.8643,59.83,90,93,1.68,overcast clouds
59,Awjilah,LY,29.1081,21.2869,58.39,50,100,6.38,overcast clouds
60,Lima,PE,-12.0432,-77.0282,70.05,78,100,17.27,overcast clouds
61,Gigmoto,PH,13.7796,124.39,77.4,88,100,22.79,overcast clouds
62,Taian,CN,36.1853,117.12,19.94,26,0,2.42,clear sky
63,Luganville,VU,-15.5333,167.1667,84.7,69,95,7.96,overcast clouds
64,Ayagoz,KZ,47.9714,80.4392,-2.34,100,100,2.89,overcast clouds
65,Northam,GB,51.0333,-4.2167,49.39,97,93,8.08,overcast clouds
66,Sao Filipe,CV,14.8961,-24.4956,76.59,61,0,11.27,clear sky
67,Kaitangata,NZ,-46.2817,169.8464,60.84,72,100,0.98,overcast clouds
68,Margate,GB,51.3813,1.3862,51.12,91,71,3.0,broken clouds
69,Progreso,MX,21.2833,-89.6667,88.11,73,79,9.93,broken clouds
70,Saint-Joseph,RE,-21.3667,55.6167,75.58,78,80,5.39,broken clouds
71,Hammerfest,NO,70.6634,23.6821,23.45,74,75,8.05,broken clouds
72,Umarkot,PK,25.3616,69.7362,58.39,20,0,7.25,clear sky
73,Nikolskoye,RU,59.7035,30.7861,35.49,99,100,9.01,overcast clouds
74,Souillac,MU,-20.5167,57.5167,71.98,83,40,6.91,scattered clouds
75,Floro,NO,61.5996,5.0328,35.56,75,20,6.91,few clouds
76,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,73,40,11.5,scattered clouds
77,Sorland,NO,67.667,12.6934,35.46,57,94,32.3,overcast clouds
78,South Lake Tahoe,US,38.9332,-119.9844,44.06,68,100,3.24,overcast clouds
79,Khatanga,RU,71.9667,102.5,-15.12,90,100,1.48,overcast clouds
80,Luderitz,NA,-26.6481,15.1594,65.41,90,0,10.56,clear sky
81,Saldanha,ZA,-33.0117,17.9442,64.45,89,94,11.74,overcast clouds
82,Tromso,NO,69.6496,18.957,28.42,86,75,19.57,snow
83,Port Hardy,CA,50.6996,-127.4199,28.58,64,100,25.32,light snow
84,Natal,BR,-5.795,-35.2094,84.85,74,40,16.11,scattered clouds
85,Ribeira Grande,PT,38.5167,-28.7,61.2,77,40,21.85,scattered clouds
86,Lerwick,GB,60.1545,-1.1494,35.6,58,79,18.86,light rain
87,Pangnirtung,CA,66.1451,-65.7125,6.8,66,20,5.75,few clouds
88,Shimanovsk,RU,52.0,127.7,2.5,88,93,12.91,overcast clouds
89,Qaqortoq,GL,60.7167,-46.0333,10.18,64,0,8.41,clear sky
90,Hami,CN,42.8,93.45,21.09,44,88,3.8,overcast clouds
91,Chipinge,ZW,-20.1883,32.6236,58.39,95,100,5.12,overcast clouds
92,Ahipara,NZ,-35.1667,173.1667,68.9,67,9,7.92,clear sky
93,Itarema,BR,-2.9248,-39.9167,79.83,78,76,12.08,broken clouds
94,Torbay,CA,47.6666,-52.7314,30.58,78,75,16.11,broken clouds
95,Hilo,US,19.7297,-155.09,85.28,80,0,5.99,clear sky
96,Nongstoin,IN,25.5167,91.2667,46.45,85,1,3.18,clear sky
97,Albany,US,42.6001,-73.9662,34.63,83,100,1.01,snow
98,Sterling,US,39.0062,-77.4286,46.35,97,100,8.05,heavy intensity rain
99,Sitka,US,57.0531,-135.33,26.17,65,100,8.39,overcast clouds
100,Georgetown,MY,5.4112,100.3354,79.9,88,20,5.01,few clouds
101,Lorengau,PG,-2.0226,147.2712,82.08,80,100,7.99,overcast clouds
102,Avera,US,33.194,-82.5271,45.91,81,84,5.53,broken clouds
103,Avarua,CK,-21.2078,-159.775,82.45,74,40,12.66,scattered clouds
104,Nemuro,JP,43.3236,145.575,38.82,94,100,42.99,moderate rain
105,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,100,11.5,mist
106,Kihei,US,20.785,-156.4656,78.84,71,20,8.05,few clouds
107,Turayf,SA,31.6725,38.6637,46.65,81,0,11.5,clear sky
108,Touros,BR,-5.1989,-35.4608,79.38,74,5,9.53,clear sky
109,Fukue,JP,32.6881,128.8419,40.06,78,100,37.33,overcast clouds
